品种,品种代码,变量类别,变量名,预期方向,建议频率,建议滞后期,建议数据来源,是否核心变量,是否可量化,本地可用字段,本地可得性,建模处理建议
1#铜,copper_1,供应端,国内电解铜产量,供应增加通常压低价格,月度,1-3个月,国家统计局/安泰科/SMM/Wind,是,是,,待补充,
1#铜,copper_1,供应端,冶炼厂开工率,开工率上升通常压低价格,周度/月度,0-2个月,SMM/Mysteel/百川/Wind,是,是,,待补充,
1#铜,copper_1,供应端,铜精矿进口量,进口增加通常缓解供应压力,月度/年度,1-3个月,海关总署/国家统计局,是,是,铜矿砂及其精矿进口数量,部分可用,本地为年度数据，月度模型中仅作低频背景变量
1#铜,copper_1,库存端,SHFE铜库存,库存上升通常压低价格,周度/月度,0-1个月,上海期货交易所,是,是,SHFE铜仓单库存,可用,可用仓单库存作为交易所库存代理
1#铜,copper_1,库存端,社会库存,库存上升通常压低价格,周度/月度,0-1个月,Mysteel/SMM/Wind,是,是,,待补充,
1#铜,copper_1,成本端,TC/RC加工费,加工费上升代表矿端偏宽松，通常压低铜价,周度/月度,0-2个月,SMM/Fastmarkets/Wind,是,是,,待补充,
1#铜,copper_1,成本端,铜矿进口成本,成本上升通常支撑价格,月度,0-2个月,海关总署/国家统计局,是,是,铜矿砂及其精矿进口金额,部分可用,本地为年度金额，可与进口数量计算年度均价
1#铜,copper_1,需求端,电网投资完成额,需求增加通常推升价格,月度,1-3个月,国家能源局/国家电网,是,是,,待补充,
1#铜,copper_1,需求端,电线电缆产量,需求增加通常推升价格,月度,0-2个月,国家统计局/Wind,是,是,电线电缆光缆及电工器材制造PPI; 光缆产量当期值,可用替代,本地暂无电线电缆产量，用行业PPI和光缆产量代理
1#铜,copper_1,需求端,房地产施工面积,需求增加通常推升价格,月度,1-3个月,国家统计局,是,是,,待补充,
1#铜,copper_1,回收端,废铜回收量,回收供给增加通常压低价格,月度,0-2个月,SMM/Mysteel/再生资源协会/Wind,否,是,,待补充,
1#铜,copper_1,回收端,精废价差,价差扩大通常提升废铜替代，压制精铜,日度/周度,0-1个月,SMM/Mysteel/Wind,是,是,,待补充,
1#铜,copper_1,事件冲击,限产政策dummy,限产通常推升价格,日度/月度,0-1个月,政策公告/新闻事件库,否,是,,待补充,
1#铜,copper_1,事件冲击,重大矿山罢工事件,供应扰动通常推升价格,日度/月度,0-1个月,新闻事件库,否,是,,待补充,
A00铝,aluminum_a00,供应端,电解铝产量,供应增加通常压低价格,月度,0-2个月,国家统计局/IAI中国口径/SMM/Wind,是,是,,待补充,
A00铝,aluminum_a00,供应端,运行产能利用率,利用率上升通常压低价格,月度,0-2个月,SMM/百川/Wind,是,是,,待补充,
A00铝,aluminum_a00,库存端,SHFE铝库存,库存上升通常压低价格,周度/月度,0-1个月,上海期货交易所,是,是,SHFE铝仓单库存,可用,可用仓单库存作为交易所库存代理
A00铝,aluminum_a00,库存端,社会库存,库存上升通常压低价格,周度/月度,0-1个月,Mysteel/SMM/Wind,是,是,,待补充,
A00铝,aluminum_a00,成本端,工业电价,电价上升通常支撑价格,月度,0-2个月,国家发改委/地方电价/企业采购价,是,是,,待补充,
A00铝,aluminum_a00,成本端,煤炭价格,煤价上升通常支撑价格,日度/月度,0-2个月,秦皇岛煤炭网/发改委/生意社/Wind,是,是,,待补充,
A00铝,aluminum_a00,成本端,氧化铝价格,氧化铝上涨通常支撑铝价,日度/月度,0-1个月,SMM/百川/生意社/Wind,是,是,,待补充,
A00铝,aluminum_a00,回收端,再生铝产量,供给增加通常压低价格,月度,0-2个月,SMM/有色协会/Wind,否,是,,待补充,
A00铝,aluminum_a00,回收端,废铝回收量,回收供给增加通常压低价格,月度,0-2个月,SMM/Mysteel/再生资源协会,否,是,,待补充,
A00铝,aluminum_a00,需求端,汽车产量,需求增加通常推升价格,月度,0-2个月,国家统计局/中汽协,是,是,汽车产量当期值; 汽车销量Top50厂商合计,可用,可用于交通用铝需求代理
A00铝,aluminum_a00,需求端,家电产量,需求增加通常推升价格,月度,0-2个月,国家统计局,是,是,房间空气调节器产量当期值; 家用电冰箱产量当期值,可用,空调和冰箱作为家电用铝代理
A00铝,aluminum_a00,需求端,建筑铝型材产量,需求增加通常推升价格,月度,0-2个月,国家统计局/有色协会/SMM/Wind,是,是,,待补充,
A00铝,aluminum_a00,事件冲击,限电政策dummy,限电通常推升价格,日度/月度,0-1个月,政策公告/新闻事件库,是,是,,待补充,
A00铝,aluminum_a00,事件冲击,环保限产政策,限产通常推升价格,日度/月度,0-1个月,政策公告/新闻事件库,否,是,,待补充,
1#白银,silver_1,供应端,白银矿产量,供应增加通常压低价格,月度/年度,1-3个月,国家统计局/有色协会/Wind,是,是,,待补充,
1#白银,silver_1,供应端,冶炼副产银,供应增加通常压低价格,月度/年度,1-3个月,有色协会/SMM/Wind,是,是,,待补充,
1#白银,silver_1,库存端,上期所库存,库存上升通常压低价格,周度/月度,0-1个月,上海期货交易所,是,是,,待补充,
1#白银,silver_1,库存端,国内库存,库存上升通常压低价格,周度/月度,0-1个月,SMM/Mysteel/Wind,是,是,,待补充,
1#白银,silver_1,需求端,光伏装机容量,需求增加通常推升价格,月度,0-3个月,国家能源局,是,是,,待补充,
1#白银,silver_1,需求端,光伏银浆需求,需求增加通常推升价格,月度,0-3个月,CPIA/SMM/Wind,是,是,,待补充,
1#白银,silver_1,需求端,电子工业产值,需求增加通常推升价格,月度,0-2个月,国家统计局/工信部/Wind,是,是,,待补充,
1#白银,silver_1,成本端,冶炼成本指数,成本上升通常支撑价格,月度,0-2个月,SMM/百川/Wind,否,是,,待补充,
1#白银,silver_1,事件冲击,地缘政治dummy,风险上升通常支撑避险需求,日度/月度,0-1个月,新闻事件库,否,是,,待补充,
1#白银,silver_1,事件冲击,风险事件指数,风险上升通常支撑避险需求,日度/月度,0-1个月,国内风险指数/新闻事件库,否,是,,待补充,
ADC12,aluminum_adc12,供应端,再生铝合金产量,供应增加通常压低价格,月度,0-2个月,SMM/Mysteel/百川/Wind,是,是,,待补充,
ADC12,aluminum_adc12,供应端,再生铝开工率,开工率上升通常压低价格,周度/月度,0-2个月,SMM/Mysteel/百川/Wind,是,是,,待补充,
ADC12,aluminum_adc12,库存端,铝合金库存,库存上升通常压低价格,周度/月度,0-1个月,SMM/Mysteel/Wind,是,是,,待补充,
ADC12,aluminum_adc12,库存端,ADC12企业库存,库存上升通常压低价格,周度/月度,0-1个月,企业内部库存/Mysteel/SMM,是,是,,待补充,
ADC12,aluminum_adc12,成本端,A00铝价格,成本上涨通常推升ADC12,日度/月度,0-1个月,长江有色/SMM/企业采购价,是,是,A00铝_月均价; A00铝_价格月环比,可用,核心传导变量
ADC12,aluminum_adc12,回收端,废铝回收量,回收供给增加通常压低成本,月度,0-2个月,SMM/Mysteel/再生资源协会,是,是,,待补充,
ADC12,aluminum_adc12,回收端,再生铝比例,比例上升通常降低成本,月度/季度,0-2个月,企业配方/SMM/行业协会,是,是,,待补充,
ADC12,aluminum_adc12,需求端,新能源汽车产量,需求增加通常推升价格,月度,0-2个月,国家统计局/中汽协,是,是,新能源汽车产量当期值,可用,压铸件需求代理
ADC12,aluminum_adc12,需求端,汽车零部件产量,需求增加通常推升价格,月度,0-2个月,国家统计局/中汽协/Wind,是,是,,待补充,
ADC12,aluminum_adc12,事件冲击,环保督查,供给受限通常推升价格,日度/月度,0-1个月,政策公告/新闻事件库,否,是,,待补充,
ADC12,aluminum_adc12,事件冲击,废料进口政策,收紧通常推升价格,日度/月度,0-2个月,海关/生态环境部/政策公告,是,是,,待补充,
