模型,模型版本,维度,变量,字段名,标准化系数,影响强度_绝对值,p值,显著性,方向,强弱排名
铜价模型,产业链核心,成本,Brent原油月环比,brent_usd_per_barrel_month_avg_mom_pct,0.03361531665942216,0.03361531665942216,0.4003760003895115,不显著,正向,10
铜价模型,产业链核心,成本,澳洲动力煤月环比,coal_australia_usd_per_mt_mom_pct,0.020608955340811242,0.020608955340811242,0.7695661364771548,不显著,正向,11
铜价模型,产业链核心,成本,欧洲天然气月环比,natural_gas_europe_usd_per_mmbtu_mom_pct,-0.05327523324964274,0.05327523324964274,0.5871060562218618,不显著,负向,7
铜价模型,产业链核心,成本/贸易,货运成本指数月环比,freight_expenditures_index_mom_pct,0.05771105180787499,0.05771105180787499,0.3163884192148704,不显著,正向,6
铜价模型,产业链核心,成本,中国PPI同比变化,china_ppi_yoy_pct_mom_diff,0.14650501694058615,0.14650501694058615,0.10701810139272573,不显著,正向,4
铜价模型,产业链核心,需求,中国制造业PMI变化,china_manufacturing_pmi_mom_diff,0.1795758063362886,0.1795758063362886,0.1718115012610002,不显著,正向,2
铜价模型,产业链核心,需求,中国工业增加值同比变化,china_industrial_value_added_yoy_pct_mom_diff,-0.1666444367984802,0.1666444367984802,0.0269875513826287,**,负向,3
铜价模型,产业链核心,需求,房地产景气指数变化,china_real_estate_climate_index_mom_diff,0.04229373360665982,0.04229373360665982,0.49666265536625653,不显著,正向,8
铜价模型,产业链核心,贸易,中国出口总额月环比,china_total_exports_current_usd_mom_pct,0.034440323174387895,0.034440323174387895,0.6006010006113003,不显著,正向,9
铜价模型,产业链核心,贸易,中国进口总额月环比,china_total_imports_current_usd_mom_pct,-0.002742214889821827,0.002742214889821827,0.9700799312190149,不显著,负向,12
铜价模型,产业链核心,期货情绪,CFTC铜非商业净多头变化,cftc_copper_noncommercial_net_long_contracts_mom_diff,0.6977967715979148,0.6977967715979148,4.520125380529592e-34,***,正向,1
